date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:44:48	26015/26015	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202020%2008:59:58%20GMT	https://lmpixels.com/demo/leven-html-new/dark/index.html	G:/Ambati%20New%20CV/lmpixels.com/demo/leven-html-new/dark/index.html	(from )
12:44:48	601/601	---MC-	302	error ('Found')	text/html	date:Tue,%2001%20Mar%202022%2007:14:48%20GMT	https://lmpixels.com/robots.txt		(from )
12:44:48	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225e8c6b7a-47e%22	https://lmpixels.com/demo/leven-html-new/dark/favicon.ico	G:/Ambati%20New%20CV/lmpixels.com/demo/leven-html-new/dark/favicon.ico	(from https://lmpixels.com/demo/leven-html-new/dark/index.html)
12:44:49	2478/2478	---MCZ	200	added ('OK')	text/css	etag:W/%225e7b2fd0-2483%22	https://lmpixels.com/demo/leven-html-new/dark/css/normalize.css	G:/Ambati%20New%20CV/lmpixels.com/demo/leven-html-new/dark/css/normalize.css	(from https://lmpixels.com/demo/leven-html-new/dark/index.html)
12:44:49	159515/159515	---MCZ	200	added ('OK')	text/css	etag:W/%225ddfcdf0-26f1b%22	https://lmpixels.com/demo/leven-html-new/dark/css/bootstrap.min.css	G:/Ambati%20New%20CV/lmpixels.com/demo/leven-html-new/dark/css/bootstrap.min.css	(from https://lmpixels.com/demo/leven-html-new/dark/index.html)
12:44:49	2912/2912	---MCZ	200	added ('OK')	text/css	etag:W/%22580fd9b6-1010%22	https://lmpixels.com/demo/leven-html-new/dark/css/owl.carousel.css	G:/Ambati%20New%20CV/lmpixels.com/demo/leven-html-new/dark/css/owl.carousel.css	(from https://lmpixels.com/demo/leven-html-new/dark/index.html)
12:44:50	5810/5810	---MCZ	200	added ('OK')	text/css	etag:W/%2258aacbc8-1e66%22	https://lmpixels.com/demo/leven-html-new/dark/css/magnific-popup.css	G:/Ambati%20New%20CV/lmpixels.com/demo/leven-html-new/dark/css/magnific-popup.css	(from https://lmpixels.com/demo/leven-html-new/dark/index.html)
12:44:50	84884/84884	---MCZ	200	added ('OK')	text/css	etag:W/%225e8f5484-1c3f2%22	https://lmpixels.com/demo/leven-html-new/dark/css/main.css	G:/Ambati%20New%20CV/lmpixels.com/demo/leven-html-new/dark/css/main.css	(from https://lmpixels.com/demo/leven-html-new/dark/index.html)
12:44:50	9358/9358	---MCZ	200	added ('OK')	application/javascript	etag:W/%22588b7e0e-257f%22	https://lmpixels.com/demo/leven-html-new/dark/js/modernizr.custom.js	G:/Ambati%20New%20CV/lmpixels.com/demo/leven-html-new/dark/js/modernizr.custom.js	(from https://lmpixels.com/demo/leven-html-new/dark/index.html)
12:44:51	25549/25549	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202020%2015:16:34%20GMT	https://lmpixels.com/demo/leven-html-new/dark/index-2.html	G:/Ambati%20New%20CV/lmpixels.com/demo/leven-html-new/dark/index-2.html	(from https://lmpixels.com/demo/leven-html-new/dark/index.html)
